work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,stuck_days,queue_type
WS/MP18338/2024-2025/152544,CHAMALA KIRAN KUMAR REDDY,Telangana,Monitor,MP + District Authority,99.7,647.0,proactive
WS/MP18338/2025-2026/152482,CHAMALA KIRAN KUMAR REDDY,Telangana,Monitor,MP + District Authority,99.7,647.0,proactive
WS/MP453/2025-2026/153930,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,98.2,639.0,proactive
WS/MP761/2024-2025/138987,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,98.1,594.0,proactive
WS/MP761/2024-2025/139000,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,98.1,594.0,proactive
WS/MP761/2024-2025/138982,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,98.1,594.0,proactive
WS/MP18144/2024-2025/148056,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,97.7,596.0,proactive
WS/MP18144/2024-2025/148058,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,97.5,596.0,proactive
WS/MP18144/2024-2025/148134,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,97.4,596.0,proactive
WS/MP761/2024-2025/138983,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,97.4,594.0,proactive
WS/MP761/2024-2025/138989,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,97.4,592.0,proactive
WS/MP18144/2024-2025/148136,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,97.4,596.0,proactive
WS/MP435/2024-2025/145864,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,97.3,600.0,proactive
WS/MP18144/2024-2025/148054,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,97.3,596.0,proactive
WS/MP435/2024-2025/147148,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,97.3,605.0,proactive
WS/MP435/2024-2025/145863,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,97.3,600.0,proactive
WS/MP761/2024-2025/139007,Arvind Dharmapuri,Telangana,Monitor,MP + District Authority,97.0,594.0,proactive
WS/MP18109/2024-2025/153243,DR. RAJESH MISHRA,Madhya Pradesh,Monitor,MP + District Authority,97.0,642.0,proactive
WS/MP18144/2024-2025/148064,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,96.9,596.0,proactive
WS/MP435/2024-2025/146546,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,96.9,600.0,proactive
WS/MP18144/2024-2025/148131,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,96.9,596.0,proactive
WS/MP435/2024-2025/145865,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,96.9,600.0,proactive
WS/MP18144/2024-2025/148057,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,96.9,596.0,proactive
WS/MP18144/2024-2025/148055,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,96.8,596.0,proactive
WS/MP641/2024-2025/149500,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,96.8,666.0,proactive
WS/MP641/2024-2025/149235,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,96.8,668.0,proactive
WS/MP641/2024-2025/153874,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,96.8,639.0,proactive
WS/MP18144/2024-2025/148061,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,96.7,596.0,proactive
WS/MP18144/2024-2025/141587,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,96.6,642.0,proactive
WS/MP435/2024-2025/146446,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,96.5,600.0,proactive
WS/MP435/2024-2025/146448,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,96.5,600.0,proactive
WS/MP435/2024-2025/146447,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,96.5,600.0,proactive
WS/MP435/2024-2025/146444,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,96.5,600.0,proactive
WS/MP435/2024-2025/146445,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,96.5,600.0,proactive
WS/MP18144/2024-2025/148132,MALVIKA DEVI,Odisha,Monitor,MP + District Authority,96.2,596.0,proactive
WS/MP453/2024-2025/152907,Saptagiri Sankar Ulaka,Odisha,Monitor,MP + District Authority,96.1,639.0,proactive
WS/MP435/2024-2025/147149,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,95.8,605.0,proactive
WS/MP544/2025-2026/155264,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2026-2027/154859,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,635.0,proactive
WS/MP544/2025-2026/155271,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155275,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155274,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2026-2027/154856,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,635.0,proactive
WS/MP435/2024-2025/145625,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,95.7,600.0,proactive
WS/MP544/2026-2027/155457,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
