work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,data_confidence,fraud_reason,queue_type
WS/MP18019/2026-2027/139500,AMARSING TISSO,Assam,Investigate,Auditor,100.0,67,"100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Cost is unusually higher than comparable works (state+category baseline, z=7.0)",reactive
WS/MP18188/2025-2026/155209,KONDA VISHWESHWAR REDDY,Telangana,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18006/2024-2025/139521,DAGGUMALLA PRASADA RAO,Andhra Pradesh,Verify Payment,State Nodal Authority,100.0,67,Marked completed but only 48% of recommended funds were disbursed — check for incomplete work or fund diversion; No payment record yet — vendor pattern unverified,reactive
WS/MP391/2025-2026/146422,Thiru Dayanidhi Maran,Tamil Nadu,Investigate,Auditor,100.0,67,"Cost is unusually higher than comparable works (global-fallback baseline, z=9.9); 97% of funds spent but work not completed (same pattern as a confirmed CAG-audited case)",reactive
WS/MP600/2024-2025/148238,Jitendra Singh,Jammu And Kashmir,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/149002,Arvind Dharmapuri,Telangana,Inspect,District Authority,100.0,67,Marked completed but only 31% of recommended funds were disbursed — check for incomplete work or fund diversion; Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/149003,Arvind Dharmapuri,Telangana,Inspect,District Authority,100.0,67,Marked completed but only 18% of recommended funds were disbursed — check for incomplete work or fund diversion; Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/149004,Arvind Dharmapuri,Telangana,Inspect,District Authority,100.0,67,Marked completed but only 20% of recommended funds were disbursed — check for incomplete work or fund diversion; Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18172/2024-2025/149101,MANNA LAL RAWAT,Rajasthan,Inspect,District Authority,100.0,67,Marked completed but only 50% of recommended funds were disbursed — check for incomplete work or fund diversion; Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP719/2024-2025/149562,Bhagirath Chaudhary,Rajasthan,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18074/2024-2025/138472,KALI CHARAN MUNDA,Jharkhand,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP243/2025-2026/147542,Kakoli Ghosh Dastidar,West Bengal,Investigate,Auditor,100.0,67,"96% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Cost is unusually higher than comparable works (state+category baseline, z=5.6)",reactive
WS/MP18048/2024-2025/148031,MAHESH KASHYAP,Chhattisgarh,Investigate,Auditor,100.0,67,"100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Cost is unusually higher than comparable works (category-only baseline, z=6.3)",reactive
WS/MP600/2024-2025/148052,Jitendra Singh,Jammu And Kashmir,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP641/2024-2025/147445,Gajendra Singh Patel,Madhya Pradesh,Inspect,District Authority,100.0,67,Marked completed but only 50% of recommended funds were disbursed — check for incomplete work or fund diversion; Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18338/2024-2025/152470,CHAMALA KIRAN KUMAR REDDY,Telangana,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18356/2025-2026/149682,PRIYANKA SATISH JARKIHOLI,Karnataka,Investigate,Auditor,100.0,67,"95% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Cost is unusually higher than comparable works (state+category baseline, z=5.7)",reactive
WS/MP18219/2025-2026/137939,AJENDRA SINGH LODHI,Uttar Pradesh,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18248/2024-2025/150128,DR. SHARMILA SARKAR,West Bengal,Review,District Authority,100.0,100,No strong fraud signal,reactive
WS/MP18138/2024-2025/148124,RICHARD VANLALHMANGAIHA,Mizoram,Inspect,District Authority,100.0,67,Marked completed but only 60% of recommended funds were disbursed — check for incomplete work or fund diversion; Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/146655,Arvind Dharmapuri,Telangana,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/146639,Arvind Dharmapuri,Telangana,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/146603,Arvind Dharmapuri,Telangana,Inspect,District Authority,100.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18019/2024-2025/137592,AMARSING TISSO,Assam,Inspect,District Authority,100.0,100,"Cost is unusually higher than comparable works (state+category baseline, z=3.7); Marked completed but no photo evidence uploaded",reactive
WS/MP761/2024-2025/151487,Arvind Dharmapuri,Telangana,Inspect,District Authority,100.0,67,Marked completed but only 20% of recommended funds were disbursed — check for incomplete work or fund diversion; Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/149006,Arvind Dharmapuri,Telangana,Inspect,District Authority,99.9,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18253/2025-2026/150568,BAPI HALDAR,West Bengal,Verify Payment,State Nodal Authority,98.7,67,Marked completed but only 47% of recommended funds were disbursed — check for incomplete work or fund diversion; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/146651,Arvind Dharmapuri,Telangana,Inspect,District Authority,98.6,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18248/2024-2025/153846,DR. SHARMILA SARKAR,West Bengal,Review,District Authority,98.3,100,No strong fraud signal,reactive
WS/MP18219/2025-2026/153025,AJENDRA SINGH LODHI,Uttar Pradesh,Verify Payment,State Nodal Authority,98.3,67,Marked completed but only 66% of recommended funds were disbursed — check for incomplete work or fund diversion; No payment record yet — vendor pattern unverified,reactive
WS/MP18338/2024-2025/152549,CHAMALA KIRAN KUMAR REDDY,Telangana,Inspect,District Authority,98.0,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP761/2024-2025/155282,Arvind Dharmapuri,Telangana,Inspect,District Authority,97.5,67,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,reactive
WS/MP18225/2025-2026/150444,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150447,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
WS/MP18225/2025-2026/150445,PUSHPENDRA SAROJ,Uttar Pradesh,Investigate,Auditor,97.4,67,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case); Vendor unusually concentrated — 153 works nationwide (needs manual favoritism/collusion review),reactive
