work_id,Hon'ble Members of Parliament,State,Constituency,work_type,recommended_amount,is_sanctioned,stuck_days,early_warning_score
WS/MP18338/2025-2026/152482,CHAMALA KIRAN KUMAR REDDY,Telangana,BHONGIR,Street lights,75000.0,False,647.0,99.7
WS/MP18338/2024-2025/152544,CHAMALA KIRAN KUMAR REDDY,Telangana,BHONGIR,Street lights,30000.0,False,647.0,99.7
WS/MP453/2025-2026/153930,Saptagiri Sankar Ulaka,Odisha,KORAPUT(ST),Construction of community centers and community halls,500000.0,False,639.0,98.2
WS/MP761/2024-2025/138982,Arvind Dharmapuri,Telangana,NIZAMABAD,Construction of community centers and community halls,400000.0,True,594.0,98.1
WS/MP761/2024-2025/138987,Arvind Dharmapuri,Telangana,NIZAMABAD,Construction of boundary walls of existing public and community buildings,399555.0,True,594.0,98.1
WS/MP761/2024-2025/139000,Arvind Dharmapuri,Telangana,NIZAMABAD,Construction of boundary walls of existing public and community buildings,400000.0,True,594.0,98.1
WS/MP18144/2024-2025/148056,MALVIKA DEVI,Odisha,KALAHANDI,Construction of common work sheds/ common covered sitting area,300000.0,True,596.0,97.7
WS/MP18144/2024-2025/148058,MALVIKA DEVI,Odisha,KALAHANDI,Construction of boundary walls of existing public and community buildings,200000.0,True,596.0,97.5
WS/MP761/2024-2025/138989,Arvind Dharmapuri,Telangana,NIZAMABAD,Construction of community centers and community halls,400000.0,True,592.0,97.4
WS/MP18144/2024-2025/148136,MALVIKA DEVI,Odisha,KALAHANDI,Construction of boundary walls of existing public and community buildings,200000.0,True,596.0,97.4
WS/MP18144/2024-2025/148134,MALVIKA DEVI,Odisha,KALAHANDI,Construction of boundary walls of existing public and community buildings,200000.0,True,596.0,97.4
WS/MP761/2024-2025/138983,Arvind Dharmapuri,Telangana,NIZAMABAD,Construction of community centers and community halls,300000.0,True,594.0,97.4
WS/MP435/2024-2025/147148,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,463600.0,True,605.0,97.3
WS/MP435/2024-2025/145863,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,436400.0,True,600.0,97.3
WS/MP435/2024-2025/145864,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,345200.0,True,600.0,97.3
WS/MP18144/2024-2025/148054,MALVIKA DEVI,Odisha,KALAHANDI,Construction of community centers and community halls,400000.0,True,596.0,97.3
WS/MP18109/2024-2025/153243,DR. RAJESH MISHRA,Madhya Pradesh,SIDHI,Construction of rooms and halls in school and colleges,753000.0,False,642.0,97.0
WS/MP761/2024-2025/139007,Arvind Dharmapuri,Telangana,NIZAMABAD,Construction of community centers and community halls,495000.0,True,594.0,97.0
WS/MP18144/2024-2025/148057,MALVIKA DEVI,Odisha,KALAHANDI,Construction of community centers and community halls,200000.0,True,596.0,96.9
WS/MP435/2024-2025/145865,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,287500.0,True,600.0,96.9
WS/MP18144/2024-2025/148064,MALVIKA DEVI,Odisha,KALAHANDI,Construction of community centers and community halls,200000.0,True,596.0,96.9
WS/MP18144/2024-2025/148131,MALVIKA DEVI,Odisha,KALAHANDI,Construction of community centers and community halls,200000.0,True,596.0,96.9
WS/MP435/2024-2025/146546,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,255800.0,True,600.0,96.9
WS/MP641/2024-2025/153874,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Construction of community centers and community halls,500000.0,False,639.0,96.8
WS/MP641/2024-2025/149500,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Construction of community centers and community halls,500000.0,False,666.0,96.8
WS/MP641/2024-2025/149235,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Construction of community centers and community halls,500000.0,False,668.0,96.8
WS/MP18144/2024-2025/148055,MALVIKA DEVI,Odisha,KALAHANDI,Construction of community centers and community halls,200000.0,True,596.0,96.8
WS/MP18144/2024-2025/148061,MALVIKA DEVI,Odisha,KALAHANDI,Construction of community centers and community halls,300000.0,True,596.0,96.7
WS/MP18144/2024-2025/141587,MALVIKA DEVI,Odisha,KALAHANDI,Construction of footpaths and pedestrian ways,600000.0,True,642.0,96.6
WS/MP435/2024-2025/146448,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,505500.0,True,600.0,96.5
WS/MP435/2024-2025/146446,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,505500.0,True,600.0,96.5
WS/MP435/2024-2025/146447,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,505500.0,True,600.0,96.5
WS/MP435/2024-2025/146445,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,505500.0,True,600.0,96.5
WS/MP435/2024-2025/146444,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,505500.0,True,600.0,96.5
WS/MP18144/2024-2025/148132,MALVIKA DEVI,Odisha,KALAHANDI,Construction of water tanks,200000.0,True,596.0,96.2
WS/MP453/2024-2025/152907,Saptagiri Sankar Ulaka,Odisha,KORAPUT(ST),Installing tube-wells and borewells,700000.0,False,639.0,96.1
WS/MP435/2024-2025/147149,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,967800.0,True,605.0,95.8
WS/MP544/2025-2026/155462,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2026-2027/155456,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2026-2027/154858,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495500.0,False,635.0,95.7
WS/MP544/2026-2027/154856,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495500.0,False,635.0,95.7
WS/MP435/2024-2025/145625,Sanjay Seth,Jharkhand,RANCHI,Construction of public staircase/ stair ghat for public convenience,791200.0,True,600.0,95.7
WS/MP544/2026-2027/155457,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155276,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155468,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155275,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155274,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155271,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155249,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155458,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155248,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155247,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155464,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155259,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155260,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155258,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2025-2026/155264,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495000.0,False,633.0,95.7
WS/MP544/2026-2027/154859,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495500.0,False,635.0,95.7
WS/MP544/2026-2027/154857,Mr Gopal Jee Thakur,Bihar,DARBHANGA,Street lights,495500.0,False,635.0,95.7
WS/MP18019/2024-2025/137597,AMARSING TISSO,Assam,Diphu (ST),Installing tube-wells and borewells,400000.0,True,667.0,95.4
WS/MP18074/2024-2025/138716,KALI CHARAN MUNDA,Jharkhand,KHUNTI(ST),Construction of buildings for community cultural activities,915000.0,True,695.0,95.2
WS/MP641/2024-2025/150917,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Construction of common work sheds/ common covered sitting area,200000.0,False,656.0,95.1
WS/MP423/2026-2027/136934,Ramprit Mandal,Bihar,JHANJHARPUR,Installing community drinking water plants,200000.0,True,123.0,95.0
WS/MP435/2024-2025/147145,Sanjay Seth,Jharkhand,RANCHI,Construction of community centers and community halls,1461500.0,True,605.0,94.9
WS/MP435/2024-2025/146545,Sanjay Seth,Jharkhand,RANCHI,Construction of community centers and community halls,1461500.0,True,600.0,94.9
WS/MP435/2024-2025/146303,Sanjay Seth,Jharkhand,RANCHI,Construction of community centers and community halls,1461500.0,True,600.0,94.9
WS/MP435/2024-2025/145626,Sanjay Seth,Jharkhand,RANCHI,Construction of community centers and community halls,1461500.0,True,600.0,94.9
WS/MP435/2024-2025/146547,Sanjay Seth,Jharkhand,RANCHI,Construction of community centers and community halls,1478800.0,True,605.0,94.8
WS/MP641/2024-2025/155195,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Construction of common work sheds/ common covered sitting area,300000.0,False,635.0,94.7
WS/MP18019/2024-2025/137593,AMARSING TISSO,Assam,Diphu (ST),Construction of community centers and community halls,800000.0,True,667.0,94.6
WS/MP761/2025-2026/138988,Arvind Dharmapuri,Telangana,NIZAMABAD,Construction of community centers and community halls,400000.0,True,358.0,94.6
WS/MP435/2024-2025/146457,Sanjay Seth,Jharkhand,RANCHI,Construction of common work sheds/ common covered sitting area,1499500.0,True,600.0,94.5
WS/MP416/2025-2026/150766,Ashok Kumar Yadav,Bihar,MADHUBANI,Street lights,495000.0,False,656.0,94.5
WS/MP416/2025-2026/150767,Ashok Kumar Yadav,Bihar,MADHUBANI,Street lights,495000.0,False,656.0,94.5
WS/MP18109/2025-2026/150117,DR. RAJESH MISHRA,Madhya Pradesh,SIDHI,Setting up of laboratories,35000.0,False,662.0,94.3
WS/MP641/2024-2025/147406,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),Construction of community centers and community halls,500000.0,True,514.0,94.2
WS/MP18180/2025-2026/149583,ARUN NEHRU,Tamil Nadu,PERAMBALUR,Construction of toilet blocks,785000.0,False,666.0,94.1
