Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,work_id,work_type,recommended_amount,recommended_date,sanction_date,sanction_amount,Work Status,sanction_delay_days,is_sanctioned,baseline_median,baseline_std,baseline_level,cost_zscore,is_sanctioned_flag,amount_disbursed,is_completed,image_missing_flag,stuck_days,delay_feature,disbursement_gap_pct,vendor_total_works,vendor_data_available,vendor_concentration_score,total_disbursed_so_far,spent_pct_of_recommended,funds_exhausted_not_completed_flag,repetition_count,fraud_risk_score,inefficiency_score,fraud_risk_tier,inefficiency_tier,fraud_reason,inefficiency_reason,data_confidence,compliance_flags,compliance_flag_count,needs_fraud_review
1,Normal/Others,WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,08-Jul-2024,497185,09-Jul-2024,WS/MP620/2024-2025/133166,Construction of buildings for community cultural activities,497185.0,2024-07-08,2024-07-09,497185.0,Physical Inspection,1.0,True,400000.0,291346.1693040968,state+category,0.3335722595293908,1,497185.0,True,0,0.0,1.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.3,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
2,Trust and Society,WS/	 MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,08-Jul-2024,500000,18-Sep-2025,WS/MP620/2025-2026/133167,Construction of rooms and halls in school and colleges,500000.0,2024-07-08,2025-09-18,500000.0,Sanction,437.0,True,600000.0,1519876.4761241553,category-only,-0.06579482054687136,1,,False,0,339.0,437.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.4,59.2,Low,Medium,No payment record yet — vendor pattern unverified,Sanctioned but stuck in execution for 339 days,33,,0,False
3,Trust and Society,WS/	 MP620/2024-2025/133190-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,08-Jul-2024,450000,23-Sep-2024,WS/MP620/2024-2025/133190,Construction of buildings for community cultural activities,450000.0,2024-07-08,2024-09-23,450000.0,Sanction,77.0,True,400000.0,291346.1693040968,state+category,0.17161715261068622,1,,False,0,699.0,77.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.3,61.6,Low,Medium,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 699 days (>1 year, no completion)",33,,0,False
4,Normal/Others,WS/	 MP620/2025-2026/133191-Construction of buildings for community cultural activities,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,08-Jul-2024,1500000,29-May-2025,WS/MP620/2025-2026/133191,Construction of buildings for community cultural activities,1500000.0,2024-07-08,2025-05-29,1500000.0,Work partially Completed,325.0,True,400000.0,291346.1693040968,state+category,3.775577357435097,1,,False,0,451.0,325.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,37.1,40.7,Low,Medium,"Cost is unusually higher than comparable works (state+category baseline, z=3.8); No payment record yet — vendor pattern unverified","Sanctioned but stuck in execution for 451 days (>1 year, no completion)",33,Cost more than 3 standard deviations from comparable works,1,True
5,Normal/Others,WS/	 MP620/2024-2025/133301-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",09-Jul-2024,398009,22-Aug-2024,WS/MP620/2024-2025/133301,Construction of buildings for community cultural activities,398009.0,2024-07-09,2024-08-22,398009.0,Physical Inspection,44.0,True,400000.0,291346.1693040968,state+category,-0.006833795016957525,1,398009.0,True,0,0.0,44.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.1,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
6,Normal/Others,WS/	 MP620/2024-2025/133303-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,09-Jul-2024,399104,25-Jul-2024,WS/MP620/2024-2025/133303,Construction of buildings for community cultural activities,399104.0,2024-07-09,2024-07-25,399104.0,Physical Inspection,16.0,True,400000.0,291346.1693040968,state+category,-0.003075379374783497,1,399104.0,True,0,0.0,16.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
7,Normal/Others,WS/	 MP620/2024-2025/133304-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,09-Jul-2024,396154,22-Aug-2024,WS/MP620/2024-2025/133304,Construction of buildings for community cultural activities,396154.0,2024-07-09,2024-08-22,396154.0,Physical Inspection,44.0,True,400000.0,291346.1693040968,state+category,-0.013200791378813984,1,,False,0,731.0,44.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.1,77.4,Low,High,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 731 days (>1 year, no completion)",33,,0,False
8,Normal/Others,WS/	 MP620/2025-2026/133305-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,09-Jul-2024,400000,03-Jun-2025,WS/MP620/2025-2026/133305,Construction of buildings for community cultural activities,400000.0,2024-07-09,2025-06-03,400000.0,Sanction,329.0,True,400000.0,291346.1693040968,state+category,0.0,1,,False,0,446.0,329.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,39.6,Low,Low,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 446 days (>1 year, no completion)",33,,0,False
9,Normal/Others,WS/	 MP620/2024-2025/133306-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,09-Jul-2024,495627,14-Mar-2025,WS/MP620/2024-2025/133306,Construction of buildings for community cultural activities,495627.0,2024-07-09,2025-03-14,495627.0,Physical Inspection,248.0,True,400000.0,291346.1693040968,state+category,0.3282246690540418,1,495627.0,True,0,0.0,248.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.4,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10,Normal/Others,WS/	 MP620/2024-2025/133307-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,09-Jul-2024,398955,17-Aug-2024,WS/MP620/2024-2025/133307,Construction of buildings for community cultural activities,398955.0,2024-07-09,2024-08-17,398955.0,Physical Inspection,39.0,True,400000.0,291346.1693040968,state+category,-0.0035867984895633417,1,398955.0,True,0,0.0,39.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
11,Normal/Others,WS/	 MP620/2024-2025/133308-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,09-Jul-2024,399304,17-Aug-2024,WS/MP620/2024-2025/133308,Construction of buildings for community cultural activities,399304.0,2024-07-09,2024-08-17,399304.0,Physical Inspection,39.0,True,400000.0,291346.1693040968,state+category,-0.002388910764340752,1,399304.0,True,0,0.0,39.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
12,Normal/Others,WS/	 MP620/2024-2025/133309-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,09-Jul-2024,495031,14-Mar-2025,WS/MP620/2024-2025/133309,Construction of buildings for community cultural activities,495031.0,2024-07-09,2025-03-14,495031.0,Physical Inspection,248.0,True,400000.0,291346.1693040968,state+category,0.32617899259492245,1,,False,0,527.0,248.0,0.0,1.0,1,0.6931471805599453,495031.0,100.0,1,1,62.6,29.7,Medium,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),"Sanctioned but stuck in execution for 527 days (>1 year, no completion)",67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
13,Normal/Others,WS/	 MP620/2024-2025/133310-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,09-Jul-2024,247583,22-Aug-2024,WS/MP620/2024-2025/133310,Construction of buildings for community cultural activities,247583.0,2024-07-09,2024-08-22,247583.0,Physical Inspection,44.0,True,400000.0,291346.1693040968,state+category,-0.5231474309892592,1,247583.0,True,0,0.0,44.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.3,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
14,Normal/Others,WS/	 MP620/2024-2025/133311-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,09-Jul-2024,250000,22-Aug-2024,WS/MP620/2024-2025/133311,Construction of buildings for community cultural activities,250000.0,2024-07-09,2024-08-22,250000.0,Sanction,44.0,True,400000.0,291346.1693040968,state+category,-0.5148514578320587,1,,False,0,731.0,44.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.2,77.4,Low,High,No payment record yet — vendor pattern unverified,"Sanctioned but stuck in execution for 731 days (>1 year, no completion)",33,,0,False
15,Normal/Others,WS/	 MP620/2024-2025/133312-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,09-Jul-2024,498091,25-Jul-2024,WS/MP620/2024-2025/133312,Construction of buildings for community cultural activities,498091.0,2024-07-09,2024-07-25,498091.0,Physical Inspection,16.0,True,400000.0,291346.1693040968,state+category,0.33668196233469644,1,498091.0,True,0,0.0,16.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.3,0.0,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
16,Normal/Others,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Pradeep Kumar Singh,ARARIA,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",12-Jul-2024,448127,14-Jul-2024,WS/MP418/2024-2025/133409,"Construction of roads, link roads, pathways or any other road with or without drainage system",448127.0,2024-07-12,2024-07-14,448127.0,Physical Inspection,2.0,True,998038.5,375456.6843598576,state+category,-1.46464698301372,1,448127.0,True,1,0.0,2.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,47.3,0.0,Medium,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
